Read1,Read2,UmiRead,SampleName,ReadGroup,Library,SourceMaterial,PlatformUnit,SequencingPlatform,PlatformModel,SequencingCentre,SequencingDate,SLXId,Barcode,Flowcell,Lane,EndType,ReadLength,Index Type,Library Type
SLX-11868.D712_D506.H5WNTBBXX.s_8.r_1.fq.gz,SLX-11868.D712_D506.H5WNTBBXX.s_8.r_2.fq.gz,NA,GB11_plasma_A,NA,SLX-11868.D712-D506,SLX-11868.D712-D506,H5WNTBBXX.8.D712-D506,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11868,D712-D506,H5WNTBBXX,8,Paired End,150,Truseq HT,NA
SLX-11868.D709_D503.H5WNTBBXX.s_8.r_1.fq.gz,SLX-11868.D709_D503.H5WNTBBXX.s_8.r_2.fq.gz,NA,GB12_CSF,NA,SLX-11868.D709-D503,SLX-11868.D709-D503,H5WNTBBXX.8.D709-D503,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11868,D709-D503,H5WNTBBXX,8,Paired End,150,Truseq HT,NA
SLX-11868.D712_D505.H5WNTBBXX.s_8.r_1.fq.gz,SLX-11868.D712_D505.H5WNTBBXX.s_8.r_2.fq.gz,NA,GB10_plasma_A,NA,SLX-11868.D712-D505,SLX-11868.D712-D505,H5WNTBBXX.8.D712-D505,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11868,D712-D505,H5WNTBBXX,8,Paired End,150,Truseq HT,NA
SLX-11868.D709_D502.H5WNTBBXX.s_8.r_1.fq.gz,SLX-11868.D709_D502.H5WNTBBXX.s_8.r_2.fq.gz,NA,GB11_CSF,NA,SLX-11868.D709-D502,SLX-11868.D709-D502,H5WNTBBXX.8.D709-D502,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11868,D709-D502,H5WNTBBXX,8,Paired End,150,Truseq HT,NA
SLX-11868.D709_D501.H5WNTBBXX.s_8.r_1.fq.gz,SLX-11868.D709_D501.H5WNTBBXX.s_8.r_2.fq.gz,NA,GB10_CSF,NA,SLX-11868.D709-D501,SLX-11868.D709-D501,H5WNTBBXX.8.D709-D501,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11868,D709-D501,H5WNTBBXX,8,Paired End,150,Truseq HT,NA
SLX-11868.D711_D508.H5WNTBBXX.s_8.r_1.fq.gz,SLX-11868.D711_D508.H5WNTBBXX.s_8.r_2.fq.gz,NA,GB9_plasma_A,NA,SLX-11868.D711-D508,SLX-11868.D711-D508,H5WNTBBXX.8.D711-D508,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11868,D711-D508,H5WNTBBXX,8,Paired End,150,Truseq HT,NA
SLX-11868.D708_D504.H5WNTBBXX.s_8.r_1.fq.gz,SLX-11868.D708_D504.H5WNTBBXX.s_8.r_2.fq.gz,NA,GB9_CSF,NA,SLX-11868.D708-D504,SLX-11868.D708-D504,H5WNTBBXX.8.D708-D504,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11868,D708-D504,H5WNTBBXX,8,Paired End,150,Truseq HT,NA
SLX-11868.D711_D507.H5WNTBBXX.s_8.r_1.fq.gz,SLX-11868.D711_D507.H5WNTBBXX.s_8.r_2.fq.gz,NA,GB8_plasma_A,NA,SLX-11868.D711-D507,SLX-11868.D711-D507,H5WNTBBXX.8.D711-D507,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11868,D711-D507,H5WNTBBXX,8,Paired End,150,Truseq HT,NA
SLX-11868.D708_D501.H5WNTBBXX.s_8.r_1.fq.gz,SLX-11868.D708_D501.H5WNTBBXX.s_8.r_2.fq.gz,NA,GB6_CSF,NA,SLX-11868.D708-D501,SLX-11868.D708-D501,H5WNTBBXX.8.D708-D501,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11868,D708-D501,H5WNTBBXX,8,Paired End,150,Truseq HT,NA
SLX-11868.D708_D503.H5WNTBBXX.s_8.r_1.fq.gz,SLX-11868.D708_D503.H5WNTBBXX.s_8.r_2.fq.gz,NA,GB8_CSF,NA,SLX-11868.D708-D503,SLX-11868.D708-D503,H5WNTBBXX.8.D708-D503,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11868,D708-D503,H5WNTBBXX,8,Paired End,150,Truseq HT,NA
SLX-11868.D711_D506.H5WNTBBXX.s_8.r_1.fq.gz,SLX-11868.D711_D506.H5WNTBBXX.s_8.r_2.fq.gz,NA,GB7_plasma_A,NA,SLX-11868.D711-D506,SLX-11868.D711-D506,H5WNTBBXX.8.D711-D506,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11868,D711-D506,H5WNTBBXX,8,Paired End,150,Truseq HT,NA
SLX-11868.D708_D502.H5WNTBBXX.s_8.r_1.fq.gz,SLX-11868.D708_D502.H5WNTBBXX.s_8.r_2.fq.gz,NA,GB7_CSF,NA,SLX-11868.D708-D502,SLX-11868.D708-D502,H5WNTBBXX.8.D708-D502,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11868,D708-D502,H5WNTBBXX,8,Paired End,150,Truseq HT,NA
SLX-11868.D711_D505.H5WNTBBXX.s_8.r_1.fq.gz,SLX-11868.D711_D505.H5WNTBBXX.s_8.r_2.fq.gz,NA,GB6_plasma_A,NA,SLX-11868.D711-D505,SLX-11868.D711-D505,H5WNTBBXX.8.D711-D505,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11868,D711-D505,H5WNTBBXX,8,Paired End,150,Truseq HT,NA
SLX-11868.D710_D508.H5WNTBBXX.s_8.r_1.fq.gz,SLX-11868.D710_D508.H5WNTBBXX.s_8.r_2.fq.gz,NA,GB5_plasma_A,NA,SLX-11868.D710-D508,SLX-11868.D710-D508,H5WNTBBXX.8.D710-D508,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11868,D710-D508,H5WNTBBXX,8,Paired End,150,Truseq HT,NA
SLX-11043.D706_D507.H5VHJBBXX.s_2.r_1.fq.gz,SLX-11043.D706_D507.H5VHJBBXX.s_2.r_2.fq.gz,NA,PPC3_B2,NA,SLX-11043.D706-D507,SLX-11043.D706-D507,H5VHJBBXX.2.D706-D507,ILLUMINA,HiSeq 4000,CRUK-CI,2016-04-18,SLX-11043,D706-D507,H5VHJBBXX,2,Paired End,150,Truseq HT,DNASeq
SLX-12832.D711_D505.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D711_D505.HFNWFBBXX.s_7.r_2.fq.gz,NA,DK37,NA,SLX-12832.D711-D505,SLX-12832.D711-D505,HFNWFBBXX.7.D711-D505,ILLUMINA,HiSeq 4000,CRUK-CI,2016-10-11,SLX-12832,D711-D505,HFNWFBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-11043.D706_D508.H5VHJBBXX.s_2.r_1.fq.gz,SLX-11043.D706_D508.H5VHJBBXX.s_2.r_2.fq.gz,NA,PPC3_B9,NA,SLX-11043.D706-D508,SLX-11043.D706-D508,H5VHJBBXX.2.D706-D508,ILLUMINA,HiSeq 4000,CRUK-CI,2016-04-18,SLX-11043,D706-D508,H5VHJBBXX,2,Paired End,150,Truseq HT,DNASeq
SLX-12832.D711_D506.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D711_D506.HFNWFBBXX.s_7.r_2.fq.gz,NA,DK38,NA,SLX-12832.D711-D506,SLX-12832.D711-D506,HFNWFBBXX.7.D711-D506,ILLUMINA,HiSeq 4000,CRUK-CI,2016-10-11,SLX-12832,D711-D506,HFNWFBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-11042.D701_D505.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D701_D505.H5WNTBBXX.s_5.r_2.fq.gz,NA,RAD_005_20006_C1D1,NA,SLX-11042.D701-D505,SLX-11042.D701-D505,H5WNTBBXX.5.D701-D505,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11042,D701-D505,H5WNTBBXX,5,Paired End,150,Truseq HT,DNASeq
SLX-12832.D711_D507.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D711_D507.HFNWFBBXX.s_7.r_2.fq.gz,NA,DK39,NA,SLX-12832.D711-D507,SLX-12832.D711-D507,HFNWFBBXX.7.D711-D507,ILLUMINA,HiSeq 4000,CRUK-CI,2016-10-11,SLX-12832,D711-D507,HFNWFBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-11042.D701_D506.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D701_D506.H5WNTBBXX.s_5.r_2.fq.gz,NA,RAD_005_20006_EOS,NA,SLX-11042.D701-D506,SLX-11042.D701-D506,H5WNTBBXX.5.D701-D506,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11042,D701-D506,H5WNTBBXX,5,Paired End,150,Truseq HT,DNASeq
SLX-11043.D706_D505.H5VHJBBXX.s_2.r_1.fq.gz,SLX-11043.D706_D505.H5VHJBBXX.s_2.r_2.fq.gz,NA,RAD_005_20002_28FU,NA,SLX-11043.D706-D505,SLX-11043.D706-D505,H5VHJBBXX.2.D706-D505,ILLUMINA,HiSeq 4000,CRUK-CI,2016-04-18,SLX-11043,D706-D505,H5VHJBBXX,2,Paired End,150,Truseq HT,DNASeq
SLX-11043.D706_D506.H5VHJBBXX.s_2.r_1.fq.gz,SLX-11043.D706_D506.H5VHJBBXX.s_2.r_2.fq.gz,NA,PPC3_a,NA,SLX-11043.D706-D506,SLX-11043.D706-D506,H5VHJBBXX.2.D706-D506,ILLUMINA,HiSeq 4000,CRUK-CI,2016-04-18,SLX-11043,D706-D506,H5VHJBBXX,2,Paired End,150,Truseq HT,DNASeq
SLX-11042.D701_D507.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D701_D507.H5WNTBBXX.s_5.r_2.fq.gz,NA,RAD_005_20008_C1D1,NA,SLX-11042.D701-D507,SLX-11042.D701-D507,H5WNTBBXX.5.D701-D507,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11042,D701-D507,H5WNTBBXX,5,Paired End,150,Truseq HT,DNASeq
SLX-11042.D701_D508.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D701_D508.H5WNTBBXX.s_5.r_2.fq.gz,NA,RAD_005_20008_C3D1,NA,SLX-11042.D701-D508,SLX-11042.D701-D508,H5WNTBBXX.5.D701-D508,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11042,D701-D508,H5WNTBBXX,5,Paired End,150,Truseq HT,DNASeq
SLX-11042.D702_D505.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D702_D505.H5WNTBBXX.s_5.r_2.fq.gz,NA,RAD_005_20008_EOS,NA,SLX-11042.D702-D505,SLX-11042.D702-D505,H5WNTBBXX.5.D702-D505,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11042,D702-D505,H5WNTBBXX,5,Paired End,150,Truseq HT,DNASeq
SLX-11042.D702_D506.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D702_D506.H5WNTBBXX.s_5.r_2.fq.gz,NA,RAD_005_20011_C1D1,NA,SLX-11042.D702-D506,SLX-11042.D702-D506,H5WNTBBXX.5.D702-D506,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11042,D702-D506,H5WNTBBXX,5,Paired End,150,Truseq HT,DNASeq
SLX-12832.D709_D502.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D709_D502.HFNWFBBXX.s_7.r_2.fq.gz,NA,DK30,NA,SLX-12832.D709-D502,SLX-12832.D709-D502,HFNWFBBXX.7.D709-D502,ILLUMINA,HiSeq 4000,CRUK-CI,2016-10-11,SLX-12832,D709-D502,HFNWFBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-12832.D709_D503.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D709_D503.HFNWFBBXX.s_7.r_2.fq.gz,NA,DK31,NA,SLX-12832.D709-D503,SLX-12832.D709-D503,HFNWFBBXX.7.D709-D503,ILLUMINA,HiSeq 4000,CRUK-CI,2016-10-11,SLX-12832,D709-D503,HFNWFBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-12832.D709_D504.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D709_D504.HFNWFBBXX.s_7.r_2.fq.gz,NA,DK32,NA,SLX-12832.D709-D504,SLX-12832.D709-D504,HFNWFBBXX.7.D709-D504,ILLUMINA,HiSeq 4000,CRUK-CI,2016-10-11,SLX-12832,D709-D504,HFNWFBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-12832.D710_D501.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D710_D501.HFNWFBBXX.s_7.r_2.fq.gz,NA,DK33,NA,SLX-12832.D710-D501,SLX-12832.D710-D501,HFNWFBBXX.7.D710-D501,ILLUMINA,HiSeq 4000,CRUK-CI,2016-10-11,SLX-12832,D710-D501,HFNWFBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-12832.D710_D502.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D710_D502.HFNWFBBXX.s_7.r_2.fq.gz,NA,DK34,NA,SLX-12832.D710-D502,SLX-12832.D710-D502,HFNWFBBXX.7.D710-D502,ILLUMINA,HiSeq 4000,CRUK-CI,2016-10-11,SLX-12832,D710-D502,HFNWFBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-12832.D710_D503.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D710_D503.HFNWFBBXX.s_7.r_2.fq.gz,NA,DK35,NA,SLX-12832.D710-D503,SLX-12832.D710-D503,HFNWFBBXX.7.D710-D503,ILLUMINA,HiSeq 4000,CRUK-CI,2016-10-11,SLX-12832,D710-D503,HFNWFBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-12832.D710_D504.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D710_D504.HFNWFBBXX.s_7.r_2.fq.gz,NA,DK36,NA,SLX-12832.D710-D504,SLX-12832.D710-D504,HFNWFBBXX.7.D710-D504,ILLUMINA,HiSeq 4000,CRUK-CI,2016-10-11,SLX-12832,D710-D504,HFNWFBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-11042.D703_D506.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D703_D506.H5WNTBBXX.s_5.r_2.fq.gz,NA,RAD_005_20016_C1D1,NA,SLX-11042.D703-D506,SLX-11042.D703-D506,H5WNTBBXX.5.D703-D506,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11042,D703-D506,H5WNTBBXX,5,Paired End,150,Truseq HT,DNASeq
SLX-12832.D701_D504.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D701_D504.HFNWFBBXX.s_7.r_2.fq.gz,NA,S2_686_ds,NA,SLX-12832.D701-D504,SLX-12832.D701-D504,HFNWFBBXX.7.D701-D504,ILLUMINA,HiSeq 4000,CRUK-CI,2016-10-11,SLX-12832,D701-D504,HFNWFBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-11042.D703_D507.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D703_D507.H5WNTBBXX.s_5.r_2.fq.gz,NA,RAD_005_20016_C5D1,NA,SLX-11042.D703-D507,SLX-11042.D703-D507,H5WNTBBXX.5.D703-D507,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11042,D703-D507,H5WNTBBXX,5,Paired End,150,Truseq HT,DNASeq
SLX-12832.D701_D505.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D701_D505.HFNWFBBXX.s_7.r_2.fq.gz,NA,S2_687_ds,NA,SLX-12832.D701-D505,SLX-12832.D701-D505,HFNWFBBXX.7.D701-D505,ILLUMINA,HiSeq 4000,CRUK-CI,2016-10-11,SLX-12832,D701-D505,HFNWFBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-11042.D703_D508.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D703_D508.H5WNTBBXX.s_5.r_2.fq.gz,NA,RAD_004_20002_C1D1,NA,SLX-11042.D703-D508,SLX-11042.D703-D508,H5WNTBBXX.5.D703-D508,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11042,D703-D508,H5WNTBBXX,5,Paired End,150,Truseq HT,DNASeq
SLX-11042.D704_D501.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D704_D501.H5WNTBBXX.s_5.r_2.fq.gz,NA,RAD_004_20002_EOS,NA,SLX-11042.D704-D501,SLX-11042.D704-D501,H5WNTBBXX.5.D704-D501,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11042,D704-D501,H5WNTBBXX,5,Paired End,150,Truseq HT,DNASeq
SLX-11042.D702_D507.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D702_D507.H5WNTBBXX.s_5.r_2.fq.gz,NA,RAD_005_20011_C7D1,NA,SLX-11042.D702-D507,SLX-11042.D702-D507,H5WNTBBXX.5.D702-D507,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11042,D702-D507,H5WNTBBXX,5,Paired End,150,Truseq HT,DNASeq
SLX-11042.D702_D508.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D702_D508.H5WNTBBXX.s_5.r_2.fq.gz,NA,RAD_005_20013_C1D1,NA,SLX-11042.D702-D508,SLX-11042.D702-D508,H5WNTBBXX.5.D702-D508,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11042,D702-D508,H5WNTBBXX,5,Paired End,150,Truseq HT,DNASeq
SLX-11042.D703_D505.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D703_D505.H5WNTBBXX.s_5.r_2.fq.gz,NA,RAD_005_20013_C3D1,NA,SLX-11042.D703-D505,SLX-11042.D703-D505,H5WNTBBXX.5.D703-D505,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11042,D703-D505,H5WNTBBXX,5,Paired End,150,Truseq HT,DNASeq
SLX-11042.D704_D502.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D704_D502.H5WNTBBXX.s_5.r_2.fq.gz,NA,RAD_004_20009_C1D1,NA,SLX-11042.D704-D502,SLX-11042.D704-D502,H5WNTBBXX.5.D704-D502,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11042,D704-D502,H5WNTBBXX,5,Paired End,150,Truseq HT,DNASeq
SLX-11042.D704_D503.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D704_D503.H5WNTBBXX.s_5.r_2.fq.gz,NA,RAD_004_20009_28FU,NA,SLX-11042.D704-D503,SLX-11042.D704-D503,H5WNTBBXX.5.D704-D503,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11042,D704-D503,H5WNTBBXX,5,Paired End,150,Truseq HT,DNASeq
SLX-11042.D704_D504.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D704_D504.H5WNTBBXX.s_5.r_2.fq.gz,NA,RAD_004_20005_C1D1,NA,SLX-11042.D704-D504,SLX-11042.D704-D504,H5WNTBBXX.5.D704-D504,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11042,D704-D504,H5WNTBBXX,5,Paired End,150,Truseq HT,DNASeq
SLX-12832.D711_D508.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D711_D508.HFNWFBBXX.s_7.r_2.fq.gz,NA,DK40,NA,SLX-12832.D711-D508,SLX-12832.D711-D508,HFNWFBBXX.7.D711-D508,ILLUMINA,HiSeq 4000,CRUK-CI,2016-10-11,SLX-12832,D711-D508,HFNWFBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-12832.D712_D505.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D712_D505.HFNWFBBXX.s_7.r_2.fq.gz,NA,DK41,NA,SLX-12832.D712-D505,SLX-12832.D712-D505,HFNWFBBXX.7.D712-D505,ILLUMINA,HiSeq 4000,CRUK-CI,2016-10-11,SLX-12832,D712-D505,HFNWFBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-12832.D712_D506.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D712_D506.HFNWFBBXX.s_7.r_2.fq.gz,NA,DK42,NA,SLX-12832.D712-D506,SLX-12832.D712-D506,HFNWFBBXX.7.D712-D506,ILLUMINA,HiSeq 4000,CRUK-CI,2016-10-11,SLX-12832,D712-D506,HFNWFBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-12832.D712_D507.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D712_D507.HFNWFBBXX.s_7.r_2.fq.gz,NA,DK43,NA,SLX-12832.D712-D507,SLX-12832.D712-D507,HFNWFBBXX.7.D712-D507,ILLUMINA,HiSeq 4000,CRUK-CI,2016-10-11,SLX-12832,D712-D507,HFNWFBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-12832.D712_D508.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D712_D508.HFNWFBBXX.s_7.r_2.fq.gz,NA,DK44,NA,SLX-12832.D712-D508,SLX-12832.D712-D508,HFNWFBBXX.7.D712-D508,ILLUMINA,HiSeq 4000,CRUK-CI,2016-10-11,SLX-12832,D712-D508,HFNWFBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-12832.D701_D501.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D701_D501.HFNWFBBXX.s_7.r_2.fq.gz,NA,htc293ds,NA,SLX-12832.D701-D501,SLX-12832.D701-D501,HFNWFBBXX.7.D701-D501,ILLUMINA,HiSeq 4000,CRUK-CI,2016-10-11,SLX-12832,D701-D501,HFNWFBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-12832.D701_D502.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D701_D502.HFNWFBBXX.s_7.r_2.fq.gz,NA,rat04ds,NA,SLX-12832.D701-D502,SLX-12832.D701-D502,HFNWFBBXX.7.D701-D502,ILLUMINA,HiSeq 4000,CRUK-CI,2016-10-11,SLX-12832,D701-D502,HFNWFBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-12832.D701_D503.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D701_D503.HFNWFBBXX.s_7.r_2.fq.gz,NA,A11_15gy_24h_ds,NA,SLX-12832.D701-D503,SLX-12832.D701-D503,HFNWFBBXX.7.D701-D503,ILLUMINA,HiSeq 4000,CRUK-CI,2016-10-11,SLX-12832,D701-D503,HFNWFBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-12838.D703_D502.HFKF7BBXX.s_8.r_1.fq.gz,SLX-12838.D703_D502.HFKF7BBXX.s_8.r_2.fq.gz,NA,DK54,NA,SLX-12838.D703-D502,SLX-12838.D703-D502,HFKF7BBXX.8.D703-D502,ILLUMINA,HiSeq 4000,CRUK-CI,2016-10-13,SLX-12838,D703-D502,HFKF7BBXX,8,Paired End,150,Truseq HT,DNASeq
