Read1,Read2,UmiRead,SampleName,ReadGroup,Library,SourceMaterial,PlatformUnit,SequencingPlatform,PlatformModel,SequencingCentre,SequencingDate,SLXId,Barcode,Flowcell,Lane,EndType,ReadLength,Library Type,Index Type
SLX-11904.D708_D504.HCL2WBBXX.s_8.r_1.fq.gz,SLX-11904.D708_D504.HCL2WBBXX.s_8.r_2.fq.gz,,PLS:182,,SLX-11904.D708-D504,SLX-11904.D708-D504,HCL2WBBXX.8.D708-D504,ILLUMINA,HiSeq 4000,CRUK-CI,27/06/2016,SLX-11904,D708-D504,HCL2WBBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-10572.D702_D503.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D702_D503.C8L1WANXX.s_6.r_2.fq.gz,,UCP:168,,SLX-10572.D702-D503,SLX-10572.D702-D503,C8L1WANXX.6.D702-D503,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D702-D503,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D702_D503.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D702_D503.C8L1WANXX.s_7.r_2.fq.gz,,UCP:168,,SLX-10572.D702-D503,SLX-10572.D702-D503,C8L1WANXX.7.D702-D503,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D702-D503,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D702_D508.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D702_D508.C8L1WANXX.s_6.r_2.fq.gz,,UCP:184,,SLX-10572.D702-D508,SLX-10572.D702-D508,C8L1WANXX.6.D702-D508,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D702-D508,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D702_D508.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D702_D508.C8L1WANXX.s_7.r_2.fq.gz,,UCP:184,,SLX-10572.D702-D508,SLX-10572.D702-D508,C8L1WANXX.7.D702-D508,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D702-D508,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D703_D501.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D703_D501.C8L1WANXX.s_6.r_2.fq.gz,,UCP:200,,SLX-10572.D703-D501,SLX-10572.D703-D501,C8L1WANXX.6.D703-D501,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D703-D501,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D703_D501.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D703_D501.C8L1WANXX.s_7.r_2.fq.gz,,UCP:200,,SLX-10572.D703-D501,SLX-10572.D703-D501,C8L1WANXX.7.D703-D501,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D703-D501,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-11904.D709_D501.HCL2WBBXX.s_8.r_1.fq.gz,SLX-11904.D709_D501.HCL2WBBXX.s_8.r_2.fq.gz,,PLS:220,,SLX-11904.D709-D501,SLX-11904.D709-D501,HCL2WBBXX.8.D709-D501,ILLUMINA,HiSeq 4000,CRUK-CI,27/06/2016,SLX-11904,D709-D501,HCL2WBBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-10572.D702_D506.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D702_D506.C8L1WANXX.s_6.r_2.fq.gz,,UCP:220,,SLX-10572.D702-D506,SLX-10572.D702-D506,C8L1WANXX.6.D702-D506,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D702-D506,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D702_D506.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D702_D506.C8L1WANXX.s_7.r_2.fq.gz,,UCP:220,,SLX-10572.D702-D506,SLX-10572.D702-D506,C8L1WANXX.7.D702-D506,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D702-D506,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-11904.D708_D508.HCL2WBBXX.s_8.r_1.fq.gz,SLX-11904.D708_D508.HCL2WBBXX.s_8.r_2.fq.gz,,PLS:476,,SLX-11904.D708-D508,SLX-11904.D708-D508,HCL2WBBXX.8.D708-D508,ILLUMINA,HiSeq 4000,CRUK-CI,27/06/2016,SLX-11904,D708-D508,HCL2WBBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-10572.D702_D507.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D702_D507.C8L1WANXX.s_6.r_2.fq.gz,,UCP:170,,SLX-10572.D702-D507,SLX-10572.D702-D507,C8L1WANXX.6.D702-D507,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D702-D507,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D702_D507.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D702_D507.C8L1WANXX.s_7.r_2.fq.gz,,UCP:170,,SLX-10572.D702-D507,SLX-10572.D702-D507,C8L1WANXX.7.D702-D507,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D702-D507,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D703_D502.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D703_D502.C8L1WANXX.s_6.r_2.fq.gz,,UCP:262,,SLX-10572.D703-D502,SLX-10572.D703-D502,C8L1WANXX.6.D703-D502,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D703-D502,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D703_D502.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D703_D502.C8L1WANXX.s_7.r_2.fq.gz,,UCP:262,,SLX-10572.D703-D502,SLX-10572.D703-D502,C8L1WANXX.7.D703-D502,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D703-D502,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D703_D503.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D703_D503.C8L1WANXX.s_6.r_2.fq.gz,,UCP:212,,SLX-10572.D703-D503,SLX-10572.D703-D503,C8L1WANXX.6.D703-D503,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D703-D503,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D703_D503.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D703_D503.C8L1WANXX.s_7.r_2.fq.gz,,UCP:212,,SLX-10572.D703-D503,SLX-10572.D703-D503,C8L1WANXX.7.D703-D503,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D703-D503,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D703_D504.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D703_D504.C8L1WANXX.s_6.r_2.fq.gz,,UCP:214,,SLX-10572.D703-D504,SLX-10572.D703-D504,C8L1WANXX.6.D703-D504,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D703-D504,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D703_D504.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D703_D504.C8L1WANXX.s_7.r_2.fq.gz,,UCP:214,,SLX-10572.D703-D504,SLX-10572.D703-D504,C8L1WANXX.7.D703-D504,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D703-D504,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D703_D507.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D703_D507.C8L1WANXX.s_6.r_2.fq.gz,,UCP:260,,SLX-10572.D703-D507,SLX-10572.D703-D507,C8L1WANXX.6.D703-D507,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D703-D507,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D703_D507.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D703_D507.C8L1WANXX.s_7.r_2.fq.gz,,UCP:260,,SLX-10572.D703-D507,SLX-10572.D703-D507,C8L1WANXX.7.D703-D507,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D703-D507,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D703_D508.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D703_D508.C8L1WANXX.s_6.r_2.fq.gz,,UCP:282,,SLX-10572.D703-D508,SLX-10572.D703-D508,C8L1WANXX.6.D703-D508,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D703-D508,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D703_D508.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D703_D508.C8L1WANXX.s_7.r_2.fq.gz,,UCP:282,,SLX-10572.D703-D508,SLX-10572.D703-D508,C8L1WANXX.7.D703-D508,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D703-D508,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D703_D505.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D703_D505.C8L1WANXX.s_6.r_2.fq.gz,,UCP:256,,SLX-10572.D703-D505,SLX-10572.D703-D505,C8L1WANXX.6.D703-D505,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D703-D505,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D703_D505.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D703_D505.C8L1WANXX.s_7.r_2.fq.gz,,UCP:256,,SLX-10572.D703-D505,SLX-10572.D703-D505,C8L1WANXX.7.D703-D505,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D703-D505,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D703_D506.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D703_D506.C8L1WANXX.s_6.r_2.fq.gz,,UCP:270,,SLX-10572.D703-D506,SLX-10572.D703-D506,C8L1WANXX.6.D703-D506,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D703-D506,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D703_D506.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D703_D506.C8L1WANXX.s_7.r_2.fq.gz,,UCP:270,,SLX-10572.D703-D506,SLX-10572.D703-D506,C8L1WANXX.7.D703-D506,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D703-D506,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D704_D503.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D704_D503.C8L1WANXX.s_6.r_2.fq.gz,,USN:225,,SLX-10572.D704-D503,SLX-10572.D704-D503,C8L1WANXX.6.D704-D503,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D704-D503,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D704_D503.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D704_D503.C8L1WANXX.s_7.r_2.fq.gz,,USN:225,,SLX-10572.D704-D503,SLX-10572.D704-D503,C8L1WANXX.7.D704-D503,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D704-D503,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D704_D504.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D704_D504.C8L1WANXX.s_6.r_2.fq.gz,,USN:289,,SLX-10572.D704-D504,SLX-10572.D704-D504,C8L1WANXX.6.D704-D504,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D704-D504,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D704_D504.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D704_D504.C8L1WANXX.s_7.r_2.fq.gz,,USN:289,,SLX-10572.D704-D504,SLX-10572.D704-D504,C8L1WANXX.7.D704-D504,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D704-D504,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D704_D501.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D704_D501.C8L1WANXX.s_6.r_2.fq.gz,,USN:259,,SLX-10572.D704-D501,SLX-10572.D704-D501,C8L1WANXX.6.D704-D501,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D704-D501,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D704_D501.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D704_D501.C8L1WANXX.s_7.r_2.fq.gz,,USN:259,,SLX-10572.D704-D501,SLX-10572.D704-D501,C8L1WANXX.7.D704-D501,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D704-D501,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D704_D502.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D704_D502.C8L1WANXX.s_6.r_2.fq.gz,,USN:255,,SLX-10572.D704-D502,SLX-10572.D704-D502,C8L1WANXX.6.D704-D502,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D704-D502,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D704_D502.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D704_D502.C8L1WANXX.s_7.r_2.fq.gz,,USN:255,,SLX-10572.D704-D502,SLX-10572.D704-D502,C8L1WANXX.7.D704-D502,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D704-D502,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D704_D505.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D704_D505.C8L1WANXX.s_6.r_2.fq.gz,,USN:211,,SLX-10572.D704-D505,SLX-10572.D704-D505,C8L1WANXX.6.D704-D505,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D704-D505,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D704_D505.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D704_D505.C8L1WANXX.s_7.r_2.fq.gz,,USN:211,,SLX-10572.D704-D505,SLX-10572.D704-D505,C8L1WANXX.7.D704-D505,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D704-D505,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D704_D506.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D704_D506.C8L1WANXX.s_6.r_2.fq.gz,,USN:213,,SLX-10572.D704-D506,SLX-10572.D704-D506,C8L1WANXX.6.D704-D506,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D704-D506,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D704_D506.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D704_D506.C8L1WANXX.s_7.r_2.fq.gz,,USN:213,,SLX-10572.D704-D506,SLX-10572.D704-D506,C8L1WANXX.7.D704-D506,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D704-D506,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D704_D507.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D704_D507.C8L1WANXX.s_6.r_2.fq.gz,,USN:281,,SLX-10572.D704-D507,SLX-10572.D704-D507,C8L1WANXX.6.D704-D507,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D704-D507,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D704_D507.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D704_D507.C8L1WANXX.s_7.r_2.fq.gz,,USN:281,,SLX-10572.D704-D507,SLX-10572.D704-D507,C8L1WANXX.7.D704-D507,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D704-D507,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D705_D502.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D705_D502.C8L1WANXX.s_6.r_2.fq.gz,,USN:183,,SLX-10572.D705-D502,SLX-10572.D705-D502,C8L1WANXX.6.D705-D502,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D705-D502,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D705_D502.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D705_D502.C8L1WANXX.s_7.r_2.fq.gz,,USN:183,,SLX-10572.D705-D502,SLX-10572.D705-D502,C8L1WANXX.7.D705-D502,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D705-D502,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D705_D503.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D705_D503.C8L1WANXX.s_6.r_2.fq.gz,,USN:157,,SLX-10572.D705-D503,SLX-10572.D705-D503,C8L1WANXX.6.D705-D503,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D705-D503,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D705_D503.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D705_D503.C8L1WANXX.s_7.r_2.fq.gz,,USN:157,,SLX-10572.D705-D503,SLX-10572.D705-D503,C8L1WANXX.7.D705-D503,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D705-D503,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D704_D508.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D704_D508.C8L1WANXX.s_6.r_2.fq.gz,,USN:261,,SLX-10572.D704-D508,SLX-10572.D704-D508,C8L1WANXX.6.D704-D508,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D704-D508,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D704_D508.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D704_D508.C8L1WANXX.s_7.r_2.fq.gz,,USN:261,,SLX-10572.D704-D508,SLX-10572.D704-D508,C8L1WANXX.7.D704-D508,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D704-D508,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D705_D501.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D705_D501.C8L1WANXX.s_6.r_2.fq.gz,,USN:219,,SLX-10572.D705-D501,SLX-10572.D705-D501,C8L1WANXX.6.D705-D501,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D705-D501,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D705_D501.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D705_D501.C8L1WANXX.s_7.r_2.fq.gz,,USN:219,,SLX-10572.D705-D501,SLX-10572.D705-D501,C8L1WANXX.7.D705-D501,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D705-D501,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D705_D506.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D705_D506.C8L1WANXX.s_6.r_2.fq.gz,,USN:133,,SLX-10572.D705-D506,SLX-10572.D705-D506,C8L1WANXX.6.D705-D506,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D705-D506,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D705_D506.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D705_D506.C8L1WANXX.s_7.r_2.fq.gz,,USN:133,,SLX-10572.D705-D506,SLX-10572.D705-D506,C8L1WANXX.7.D705-D506,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D705-D506,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D705_D507.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D705_D507.C8L1WANXX.s_6.r_2.fq.gz,,USN:199,,SLX-10572.D705-D507,SLX-10572.D705-D507,C8L1WANXX.6.D705-D507,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D705-D507,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D705_D507.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D705_D507.C8L1WANXX.s_7.r_2.fq.gz,,USN:199,,SLX-10572.D705-D507,SLX-10572.D705-D507,C8L1WANXX.7.D705-D507,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D705-D507,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D705_D504.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D705_D504.C8L1WANXX.s_6.r_2.fq.gz,,USN:75,,SLX-10572.D705-D504,SLX-10572.D705-D504,C8L1WANXX.6.D705-D504,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D705-D504,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D705_D504.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D705_D504.C8L1WANXX.s_7.r_2.fq.gz,,USN:75,,SLX-10572.D705-D504,SLX-10572.D705-D504,C8L1WANXX.7.D705-D504,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D705-D504,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D705_D505.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D705_D505.C8L1WANXX.s_6.r_2.fq.gz,,USN:167,,SLX-10572.D705-D505,SLX-10572.D705-D505,C8L1WANXX.6.D705-D505,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D705-D505,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D705_D505.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D705_D505.C8L1WANXX.s_7.r_2.fq.gz,,USN:167,,SLX-10572.D705-D505,SLX-10572.D705-D505,C8L1WANXX.7.D705-D505,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D705-D505,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D706_D501.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D706_D501.C8L1WANXX.s_6.r_2.fq.gz,,USN:163,,SLX-10572.D706-D501,SLX-10572.D706-D501,C8L1WANXX.6.D706-D501,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D706-D501,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D706_D501.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D706_D501.C8L1WANXX.s_7.r_2.fq.gz,,USN:163,,SLX-10572.D706-D501,SLX-10572.D706-D501,C8L1WANXX.7.D706-D501,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D706-D501,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D706_D502.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D706_D502.C8L1WANXX.s_6.r_2.fq.gz,,USN:117,,SLX-10572.D706-D502,SLX-10572.D706-D502,C8L1WANXX.6.D706-D502,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D706-D502,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D706_D502.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D706_D502.C8L1WANXX.s_7.r_2.fq.gz,,USN:117,,SLX-10572.D706-D502,SLX-10572.D706-D502,C8L1WANXX.7.D706-D502,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D706-D502,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D705_D508.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D705_D508.C8L1WANXX.s_6.r_2.fq.gz,,USN:115,,SLX-10572.D705-D508,SLX-10572.D705-D508,C8L1WANXX.6.D705-D508,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D705-D508,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D705_D508.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D705_D508.C8L1WANXX.s_7.r_2.fq.gz,,USN:115,,SLX-10572.D705-D508,SLX-10572.D705-D508,C8L1WANXX.7.D705-D508,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D705-D508,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D706_D505.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D706_D505.C8L1WANXX.s_6.r_2.fq.gz,,USN:179,,SLX-10572.D706-D505,SLX-10572.D706-D505,C8L1WANXX.6.D706-D505,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D706-D505,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D706_D505.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D706_D505.C8L1WANXX.s_7.r_2.fq.gz,,USN:179,,SLX-10572.D706-D505,SLX-10572.D706-D505,C8L1WANXX.7.D706-D505,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D706-D505,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D706_D506.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D706_D506.C8L1WANXX.s_6.r_2.fq.gz,,USN:153,,SLX-10572.D706-D506,SLX-10572.D706-D506,C8L1WANXX.6.D706-D506,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D706-D506,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D706_D506.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D706_D506.C8L1WANXX.s_7.r_2.fq.gz,,USN:153,,SLX-10572.D706-D506,SLX-10572.D706-D506,C8L1WANXX.7.D706-D506,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D706-D506,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
SLX-10572.D706_D503.C8L1WANXX.s_6.r_1.fq.gz,SLX-10572.D706_D503.C8L1WANXX.s_6.r_2.fq.gz,,USN:111,,SLX-10572.D706-D503,SLX-10572.D706-D503,C8L1WANXX.6.D706-D503,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D706-D503,C8L1WANXX,6,Paired End,125,DNASeq,Truseq HT
SLX-10572.D706_D503.C8L1WANXX.s_7.r_1.fq.gz,SLX-10572.D706_D503.C8L1WANXX.s_7.r_2.fq.gz,,USN:111,,SLX-10572.D706-D503,SLX-10572.D706-D503,C8L1WANXX.7.D706-D503,ILLUMINA,HiSeq 2500,CRUK-CI,19/04/2016,SLX-10572,D706-D503,C8L1WANXX,7,Paired End,125,DNASeq,Truseq HT
