file,n_read,n_nucleotide,n_read_mapped,n_nucleotide_mapped,n_read_duplicate,n_nucleotide_duplicate,n_read_mapped_chrM,coverage_by_mapped_reads
SLX-12841.D705-D503.HiSeq4000.bam,11315324,1588151157,11216509,1576959649,1919529,276118956,289,0.4927998903125
SLX-12534.D708-D504.HiSeq4000.bam,21766324,3096112905,21671725,3087279987,3507057,505254980,899,0.9647749959375
SLX-11847.D709-D505.HiSeq4000.bam,21305352,2943283397,21278242,2940490878,3241857,456794022,48223,0.918903399375
SLX-11896.D705-D506.HiSeq4000.bam,14764820,1731888561,14461605,1702284871,451627,54618632,2362,0.5319640221875
SLX-11847.D704-D503.HiSeq4000.bam,15681902,2296196511,15637135,2291154818,2269587,334814318,144,0.715985880625
SLX-13900.D708-D501.HiSeq4000.bam,32752497,4762386319,32533081,4743547318,8507194,1250784841,3319,1.482358536875
SLX-13900.D703-D507.HiSeq4000.bam,18107311,2337585409,18047271,2332740239,3899746,523844738,17831,0.7289813246875
SLX-12531.D708-D502.HiSeq4000.bam,29471750,4271317005,29335598,4256433907,7214711,1054044675,594,1.3301355959375
SLX-13222.D704dna-D508dna.HiSeq4000.bam,32267733,4644672383,31727247,4614910317,6211880,911424434,405,1.4421594740625
SLX-11896.D709-D508.HiSeq4000.bam,17060674,2468360924,16945046,2456404429,740513,108397803,599,0.7676263840625
SLX-11383.D701-D508.HiSeq4000.bam,14499295,2128445295,14462344,2124013923,2478290,366327033,178,0.6637543509375
SLX-11042.D702-D505.HiSeq4000.bam,27207911,3914648570,27044056,3897564471,1712990,248334867,357,1.2179888971875
SLX-12758.D706-D505.HiSeq4000.bam,19123266,2758021184,19066682,2751659938,3014647,438666807,440,0.859893730625
SLX-11904.D711-D505.HiSeq4000.bam,23765430,2938664371,18648647,2295255827,1876818,239267170,11824,0.7172674459375
SLX-12534.D710-D501.HiSeq4000.bam,32907633,4774116135,32750758,4757095145,4840262,708485801,368,1.4865922328125
SLX-11904.D709-D507.HiSeq4000.bam,2461089,356059698,2451245,355004335,251911,36774530,36,0.1109388546875
SLX-11896.D705-D502.HiSeq4000.bam,14856338,2081678718,14567539,2050349322,458804,65609876,851,0.640734163125
SLX-13223.D701-D503.HiSeq4000.bam,17169995,2427696464,17020515,2414111106,2291411,327413585,1033,0.754409720625
SLX-12759.D701-D505.HiSeq4000.bam,41591821,5632826166,41328743,5614866921,7058210,990184184,19329,1.7546459128125
SLX-12531.D703-D504.HiSeq4000.bam,23442779,3379305322,23331599,3366811610,5755933,837129922,486,1.052128628125
SLX-11043.D704-D505.HiSeq4000.bam,29477638,4268274499,29346403,4254351752,2627096,383576829,434,1.3294849225
SLX-10572.D704-D508.HiSeq2500.bam,54843168,5876361207,54353673,5840771184,1027264,113885050,6231,1.825240995
SLX-11904.D711-D502.HiSeq4000.bam,15196516,1542393136,15133051,1537024135,1414813,149849084,14602,0.4803200421875
SLX-13900.D706-D506.HiSeq4000.bam,20887104,2797860549,20783797,2788119357,5112016,713617584,3304,0.8712872990625
SLX-11042.D702-D508.HiSeq4000.bam,24784880,3570493889,24655769,3557008402,1566013,227328315,458,1.111565125625
SLX-12758.D706-D507.HiSeq4000.bam,10005500,1450915320,9973859,1447401498,1559509,227986816,155,0.452312968125
SLX-13900.D705-D501.HiSeq4000.bam,16626339,2232345289,16509767,2225070085,3973575,552086456,24704,0.6953344015625
SLX-11379.D702-D504.HiSeq4000.bam,37941249,4949198237,37545531,4908728697,2642493,337871105,27463,1.5339777178125
SLX-11870.D710-D503.HiSeq4000.bam,31764454,4617542229,31669521,4606154850,6482573,950992962,199,1.439423390625
SLX-11873.D708-D503.HiSeq4000.bam,60574760,7571959207,60374369,7550895666,11156216,1411564767,4921,2.359654895625
SLX-10991.iPCRtagT018.HiSeq2500.bam,5928214,692113674,5856895,685296510,22456,2648210,3320,0.214155159375
SLX-11904.D710-D508.HiSeq4000.bam,29308317,3963944879,28664583,3877721342,3245232,447791861,6063,1.211787919375
SLX-11383.D709-D501.HiSeq4000.bam,3774974,545870658,3761642,544319738,603461,88929977,264,0.170099918125
SLX-11034.A016.HiSeq2500.bam,11766508,1381339110,11535122,1356926771,251189,29687013,11203,0.4240396159375
SLX-11034.A009.HiSeq2500.bam,14669510,1804793728,14593272,1796005955,182847,22634063,166,0.5612518609375
SLX-11873.D708-D501.HiSeq4000.bam,61354836,8404958874,60975533,8365894098,6969152,978983212,7630,2.614341905625
SLX-11870.D708-D507.HiSeq4000.bam,34792551,5074917947,34689524,5063124331,7582972,1113158044,403,1.5822263534375
SLX-12531.D706-D505.HiSeq4000.bam,24355791,3496823088,24265721,3487211237,6085452,882609535,549,1.0897535115625
SLX-12531.D707-D504.HiSeq4000.bam,35345017,5091991018,35203598,5076649750,9063474,1318201171,559,1.586453046875
SLX-13621.D709-D501.HiSeq4000.bam,30686647,4368726147,30524554,4351761464,6194677,890162854,1249,1.3599254575
SLX-10575.iPCRtagT021.HiSeq2500.bam,17068886,1997998208,16900972,1983447324,60940,7212110,8057,0.61982728875
SLX-13710.D706-D506.NextSeq.bam,14729140,1089298065,14590553,1081084841,267879,19846948,664,0.3378390128125
SLX-13222.D703dna-D501dna.HiSeq4000.bam,25056375,3643190922,24960135,3632253617,5282220,774811365,563,1.1350792553125
SLX-13710.D704-D505.NextSeq.bam,17637376,1305674472,17459657,1294750513,405481,30061015,183,0.4046095353125
SLX-12841.D706-D502.HiSeq4000.bam,12598091,1783155395,12507622,1773517625,2212349,318439053,2665,0.5542242578125
SLX-10575.iPCRtagT027.HiSeq2500.bam,13126479,1558702269,13025916,1549427888,68908,8285289,15289,0.484196215
SLX-12531.D704-D504.HiSeq4000.bam,27547231,3983610272,27396224,3967781237,6496554,945605656,854,1.2399316365625
SLX-11904.D712-D507.HiSeq4000.bam,1855356,240737488,1832570,237885030,183797,24532336,1324,0.074339071875
SLX-11868.D711-D507.HiSeq4000.bam,13847462,1999973108,13755061,1990279475,356259,51844124,121,0.6219623359375
SLX-13222.D704dna-D507dna.HiSeq4000.bam,31672235,4617134110,31569376,4605869842,6072926,892318106,429,1.439334325625
SLX-13227.D703-D501.HiSeq2500.bam,17844874,1324563648,17649052,1312878954,93158,6939173,1293,0.410274673125
SLX-13900.D703-D504.HiSeq4000.bam,19579180,2350132767,19363117,2340522518,4651890,589792797,104979,0.731413286875
SLX-11896.D706-D501.HiSeq4000.bam,10179562,1290117948,10066775,1279329534,340402,44340032,836,0.399790479375
SLX-11383.D710-D505.HiSeq4000.bam,37923344,5058521086,37880053,5054110927,6616532,904805419,203916,1.5794096646875
SLX-11904.D708-D505.HiSeq4000.bam,31968794,4642781605,31820827,4625969546,3772926,552633418,300,1.445615483125
SLX-11896.D708-D504.HiSeq4000.bam,7466414,1068681738,7366438,1058611477,253084,36814268,129,0.3308160865625
SLX-10572.D707-D504.HiSeq2500.bam,3313163,401840274,3272649,398425989,27293,3349667,53,0.1245081215625
SLX-11847.D703-D506.HiSeq4000.bam,13609702,1985084593,13577165,1981130806,2219620,326252290,142,0.61910337687500006
SLX-13227.D704-D505.HiSeq2500.bam,24047021,1763258548,23301205,1721766009,1940756,144229784,4307,0.5380518778125
SLX-12759.D701-D508.HiSeq4000.bam,18083489,2115223616,17421617,2086558175,4689180,587904469,94925,0.6520494296875
SLX-10991.iPCRtagT011.HiSeq2500.bam,7806734,920458298,7586398,896174292,46034,5490138,12983,0.28005446625
SLX-13222.D705dna-D505dna.HiSeq4000.bam,31527846,4562325468,31192907,4529160308,6306678,923908889,403,1.41536259625
SLX-12759.D712-D502.HiSeq4000.bam,34686705,4656227931,34201200,4617991692,6633378,924719021,16961,1.44312240375
SLX-11873.D709-D502.HiSeq4000.bam,39827022,4748932911,39459622,4721106108,14309051,1733504576,10986,1.47534565875
SLX-10575.iPCRtagT038.HiSeq2500.bam,11095446,1256822978,11002726,1249176924,335792,38998601,1100,0.39036778875
SLX-11847.D707-D504.HiSeq4000.bam,42347179,5608116036,42189884,5591258563,7104264,973560483,7407,1.7472683009375
SLX-12534.D712-D508.HiSeq4000.bam,32144701,4666064425,32008220,4651099936,5234209,765845579,591,1.45346873
SLX-13621.D706-D502.HiSeq4000.bam,35876668,5159345324,35723864,5143697969,7714968,1117970284,901,1.6074056153125
SLX-13621.D701-D501.HiSeq4000.bam,27128330,3897593206,26996656,3883679024,5547711,802350213,449,1.213649695
SLX-13710.D701-D508.NextSeq.bam,13362046,988949108,13234462,981257030,252480,18714167,328,0.306642821875
SLX-10575.iPCRtagT047.HiSeq2500.bam,11181010,1221260611,11084909,1213452907,161402,18462363,18686,0.3792040334375
SLX-13223.D702-D501.HiSeq4000.bam,33419342,4692639598,33207187,4672104784,4785023,682062381,1494,1.460032745
SLX-11904.D710-D507.HiSeq4000.bam,2759728,358071885,2741512,355907808,281882,37647418,149,0.11122119
SLX-12759.D710-D503.HiSeq4000.bam,23046736,3037827706,22083930,2991424387,6318042,832353233,13576,0.9348201209375
SLX-10575.iPCRtagT032.HiSeq2500.bam,9585948,1113756843,9520181,1108224862,54999,6533121,1422,0.346320269375
SLX-11847.D708-D502.HiSeq4000.bam,62513776,8502727470,62234563,8472185066,9991983,1399538134,70709,2.647557833125
SLX-13900.D712-D503.HiSeq4000.bam,19723413,2743514663,19492185,2723017271,4999299,714403498,11026,0.8509428971875
SLX-12534.D707-D503.HiSeq4000.bam,19418197,2817755008,19311665,2806043033,3346890,489556216,339,0.8768884478125
SLX-13621.D707-D501.HiSeq4000.bam,28828271,4140154388,28605473,4116082940,6838779,990571275,369,1.28627591875
SLX-13222.D703dna-D503dna.HiSeq4000.bam,28385876,4096209460,28234647,4081349272,5699093,831723183,317,1.2754216475
SLX-11870.D707-D507.HiSeq4000.bam,41886512,6112495518,41757104,6097613974,10227620,1502160316,805,1.905504366875
SLX-12838.D703-D501.HiSeq4000.bam,37372110,5290615611,37134654,5262176453,5420814,785102857,691,1.6444301415625
SLX-13900.D708-D503.HiSeq4000.bam,27372739,3995614343,27233018,3982525939,6796439,1001255726,996,1.2445393559375
SLX-13227.D702-D504.HiSeq2500.bam,9232892,685117634,9124553,678711550,59783,4449272,695,0.212097359375
SLX-11043.D702-D504.HiSeq4000.bam,32551198,4705007258,32414653,4690194782,2918379,425125134,169,1.465685869375
SLX-10572.D708-D508.HiSeq2500.bam,4945911,601312475,4901281,597466839,65488,8022962,56,0.1867083871875
SLX-11868.D708-D504.HiSeq4000.bam,16756174,2309939225,16649425,2299593661,500299,69640709,748,0.7186230190625
SLX-13223.D705-D507.HiSeq4000.bam,32258858,4509085904,32073257,4490488694,4286273,606131241,2078,1.403277716875
SLX-10572.D706-D508.HiSeq2500.bam,54417522,5715172637,53922488,5681769598,1234034,133833783,15432,1.775552999375
SLX-10572.D706-D503.HiSeq2500.bam,19592341,2221020952,19393766,2204569606,1275352,149832609,1549,0.688928001875
SLX-13223.D702-D502.HiSeq4000.bam,22112748,2816714252,21927660,2801317297,2898356,411000141,739,0.8754116553125
SLX-12531.D704-D502.HiSeq4000.bam,24800907,3573207244,24693212,3561165724,5114827,743116699,471,1.11286428875
SLX-11379.D702-D503.HiSeq4000.bam,24115630,3232543098,23943636,3215736995,1109962,159397638,389,1.0049178109375
SLX-10572.D709-D505.HiSeq2500.bam,4605089,559824055,4544122,554676229,37687,4638579,55,0.1733363215625
SLX-13222.D705dna-D506dna.HiSeq4000.bam,29330713,4204278212,29230840,4194511624,5433309,788927819,1048,1.3107848825
SLX-11042.D704-D504.HiSeq4000.bam,25052421,3600290752,24828676,3578100160,1513876,219137986,417,1.1181563
SLX-13223.D704-D508.HiSeq4000.bam,27247328,3823107573,26948682,3801785900,4013487,580843077,636,1.18805809375
SLX-12758.D709-D502.HiSeq4000.bam,10261504,1494961009,10229227,1491352672,1583292,232251401,70,0.46604771
SLX-12758.D711-D506.HiSeq4000.bam,24018327,3343587424,23670032,3308523470,4060848,577026010,8650,1.033913584375
SLX-12759.D701-D503.HiSeq4000.bam,20623111,3017749153,20441385,3005454717,3835626,566615116,730,0.9392045990625
SLX-12838.D705-D505.HiSeq4000.bam,12507803,1799195050,12410338,1787227883,1680163,245733104,217,0.5585087134375
SLX-10572.D701-D506.HiSeq2500.bam,6260245,704401929,6210973,700990339,25095,2910471,4400,0.2190594809375
SLX-12841.D707-D508.HiSeq4000.bam,25555977,3644045428,25447037,3631779767,5162352,745867722,5285,1.1349311771875
SLX-11847.D707-D505.HiSeq4000.bam,38064495,5489615463,37966842,5478213787,6568475,961730762,780,1.7119418084375
SLX-10572.D705-D504.HiSeq2500.bam,12721268,1371038888,12595026,1361593197,96013,10766658,5084,0.4254978740625
SLX-11896.D702-D502.HiSeq4000.bam,20780118,2539060395,19730185,2414174443,647793,81487825,6506,0.7544295134375
SLX-11904.D710-D504.HiSeq4000.bam,33591281,4857276448,33467551,4844021783,4156231,606949610,742,1.5137568071875
SLX-12839.D704-D507.HiSeq4000.bam,25288099,3711588443,25187505,3701103571,2476814,365062911,281,1.1565948659375
SLX-10575.iPCRtagT042.HiSeq2500.bam,7379833,845719822,7314175,840484653,740786,87821047,3218,0.2626514540625
SLX-13222.D702dna-D502dna.HiSeq4000.bam,37360291,5410291451,37220295,5395596452,7422171,1085830756,1298,1.68612389125
SLX-11870.D711-D504.HiSeq4000.bam,29156537,4145467708,29068168,4136295669,6527581,936903171,151,1.2925923965625
SLX-12534.D712-D505.HiSeq4000.bam,27718667,4006624479,27625940,3996256619,3916381,571404692,437,1.2488301934375
SLX-13900.D708-D504.HiSeq4000.bam,24883936,3607872385,24692617,3591431399,6818244,1000348337,2203,1.1223223121875
SLX-11873.D708-D504.HiSeq4000.bam,64845898,8304893381,64610240,8279520988,10828572,1401361144,2931,2.58735030875
SLX-12838.D706-D507.HiSeq4000.bam,9651774,1386226385,9595193,1379778208,1250248,182068100,919,0.43118069
SLX-12758.D701-D501.HiSeq4000.bam,5844286,546587589,5834636,545930616,637376,63693429,52712,0.1706033175
SLX-13223.D705-D505.HiSeq4000.bam,23630488,3354529463,23473269,3338896910,3266078,468279786,1023,1.043405284375
SLX-10991.iPCRtagT013.HiSeq2500.bam,30384102,3541020237,30105982,3514490358,226709,26741542,22016,1.098278236875
SLX-10572.D702-D503.HiSeq2500.bam,5569057,640503267,5495589,634715742,9558,1129991,1297,0.198348669375
SLX-11379.D703-D503.HiSeq4000.bam,26198626,3623336164,25950210,3598458309,1387372,200581624,795,1.1245182215625
SLX-10572.D706-D505.HiSeq2500.bam,28331977,2925385803,28070623,2906571502,405172,43494710,5052,0.908303594375
SLX-13900.D710-D503.HiSeq4000.bam,24229271,3528024226,24082399,3513574089,6260943,920430299,939,1.0979919028125
SLX-11042.D703-D507.HiSeq4000.bam,24256261,3478775346,24144609,3467204508,1318971,191004310,1566,1.08350140875
SLX-11868.D710-D505.HiSeq4000.bam,46404183,6690390972,46143466,6662834690,1866816,271170980,3784,2.082135840625
SLX-11383.D708-D504.HiSeq4000.bam,33715407,4886953315,33602313,4873611066,6091073,895997234,725,1.523003458125
SLX-12839.D705-D503.HiSeq4000.bam,18621540,2732691440,18539352,2723907017,2159869,318275929,152,0.8512209428125
SLX-11904.D712-D503.HiSeq4000.bam,23695288,3091328506,23639214,3085700638,2461281,330935083,8290,0.964281449375
SLX-12839.D703-D508.HiSeq4000.bam,15276392,2238951913,15211843,2232197926,1960267,288853855,179,0.697561851875
SLX-10572.D704-D504.HiSeq2500.bam,37175713,4081857674,36848939,4057899061,2218217,253726183,3433,1.2680934565625
SLX-11870.D709-D507.HiSeq4000.bam,31625773,4388010899,31534724,4378123943,6119351,864049448,1445,1.3681637321875
SLX-10572.D703-D508.HiSeq2500.bam,12056808,1350373423,11898318,1338065739,69639,8014664,68206,0.4181455434375
SLX-13222.D703dna-D504dna.HiSeq4000.bam,27250808,3900669327,27104464,3885769335,6132950,889887032,806,1.2143029171875
SLX-11904.D710-D505.HiSeq4000.bam,23339498,3376225439,23227055,3363454166,2894552,422778149,501,1.051079426875
SLX-11870.D711-D502.HiSeq4000.bam,21367412,3056289857,21321302,3051194490,4511465,652293779,3011,0.953498278125
SLX-11896.D706-D507.HiSeq4000.bam,34270316,3208133020,30543642,2809495510,1133777,107292265,3829,0.877967346875
SLX-11847.D701-D507.HiSeq4000.bam,18409170,2660700088,18375595,2656556110,2793951,407329211,402,0.830173784375
SLX-11896.D709-D502.HiSeq4000.bam,15414409,2199626997,15300410,2187775226,610772,88517000,442,0.683679758125
SLX-11868.D711-D506.HiSeq4000.bam,30686265,4423888248,30568716,4411176219,952168,138353786,328,1.3784925684375
SLX-11896.D704-D502.HiSeq4000.bam,16743115,2163011592,16544050,2147362876,557269,73880234,10695,0.67105089875
SLX-10575.iPCRtagT010.HiSeq2500.bam,11425839,1222744772,11342365,1216272078,266633,30090395,39298,0.380085024375
SLX-11870.D708-D505.HiSeq4000.bam,47849872,6973178133,47728130,6958722203,10363651,1520219233,394,2.1746006884375
SLX-11034.A012.HiSeq2500.bam,14469903,1677349913,14366851,1666420447,240640,27991584,1957,0.5207563896875
SLX-13900.D711-D506.HiSeq4000.bam,26385311,3866010522,26264637,3853090291,6883647,1016054646,1002,1.2040907159375
SLX-11034.A008.HiSeq2500.bam,24438842,2929243238,17684061,2109132300,638735,77608095,1365,0.65910384375
SLX-12841.D706-D503.HiSeq4000.bam,27947696,3957921171,27559972,3906747072,5335367,772235799,800,1.22085846
SLX-12759.D710-D508.HiSeq4000.bam,34034878,4551375589,31754613,4369051320,8697282,1219285460,24599,1.3653285375
SLX-11904.D709-D503.HiSeq4000.bam,11090607,1605940177,11041146,1600610908,1154430,168876242,128,0.50019090875
SLX-13900.D712-D502.HiSeq4000.bam,26329099,3556953386,26231916,3547809834,6151867,859992753,7874,1.108690573125
SLX-10575.iPCRtagT048.HiSeq2500.bam,9545486,1053551567,9479037,1048187124,81860,9273306,6132,0.32755847625
SLX-10991.iPCRtagT015.HiSeq2500.bam,7538090,863855015,7475689,857923652,17456,2035513,7253,0.26810114125
SLX-13900.D703-D505.HiSeq4000.bam,17958789,2406572495,17869696,2399253487,4516592,626422892,161085,0.7497667146875
SLX-11904.D711-D503.HiSeq4000.bam,18283702,2179656344,18231490,2174561061,1758431,218653170,2377,0.6795503315625
SLX-13621.D703-D501.HiSeq4000.bam,16815350,2408473418,16633157,2388041883,3798201,549174110,1137,0.7462630884375
SLX-13900.D707-D503.HiSeq4000.bam,24580447,3496476710,24006584,3466851756,7675323,1127681200,567,1.08339117375
SLX-11034.A015.HiSeq2500.bam,16606515,1907392942,16244423,1871741691,260122,29884274,76017,0.5849192784375
SLX-10572.D704-D506.HiSeq2500.bam,2651959,272606775,2628592,270970312,8728,931478,827,0.0846782225
SLX-13227.D711-D502.HiSeq2500.bam,18940437,1403723754,18819747,1396246304,274557,20415140,1050,0.43632697
SLX-11383.D701-D506.HiSeq4000.bam,14196807,2079214365,14162069,2074942456,2457982,362309428,275,0.6484195175
SLX-11896.D707-D505.HiSeq4000.bam,252654,30295028,245978,29725175,853,106758,11,0.0092891171875
SLX-11383.D712-D504.HiSeq4000.bam,19629505,2637172353,19599340,2634074268,3541064,488039544,15576,0.82314820875
SLX-10991.iPCRtagT014.HiSeq2500.bam,5566692,613604891,5502522,607591711,17283,1936167,2535,0.1898724096875
SLX-10572.D702-D501.HiSeq2500.bam,1561913,182782255,1520576,178959107,18752,2229103,420,0.0559247209375
SLX-11896.D706-D506.HiSeq4000.bam,21321375,2244325560,21160510,2230444675,828492,89273323,755,0.6970139609375
SLX-10991.iPCRtagT028.HiSeq2500.bam,4978518,525930756,4923832,520594040,50075,5488860,4255,0.1626856375
SLX-12531.D703-D502.HiSeq4000.bam,24783006,3585246554,24674032,3573095877,6329415,922989960,340,1.1165924615625
SLX-11383.D701-D505.HiSeq4000.bam,14650486,2146540483,14608705,2141616003,2552199,376529092,445,0.6692550009375
SLX-13621.D705-D502.HiSeq4000.bam,32409862,4644641668,32246673,4628003110,7090994,1024069799,18125,1.446250971875
SLX-12841.D704-D506.HiSeq4000.bam,34686780,4979420602,34407033,4944202249,6261546,916721050,1905,1.5450632028125
SLX-11042.D705-D501.HiSeq4000.bam,22686767,3267390781,22540427,3252341090,1287298,186810639,551,1.016356590625
SLX-11904.D709-D501.HiSeq4000.bam,13633781,1978784218,13574169,1972239469,1512379,221383433,237,0.6163248340625
SLX-12758.D705-D504.HiSeq4000.bam,25434572,3649339521,25339509,3638993715,3875168,561761830,3864,1.1371855359375
SLX-10991.iPCRtagT032.HiSeq2500.bam,63274625,7764503501,62657622,7703484580,1159010,143515539,376,2.40733893125
SLX-11870.D710-D501.HiSeq4000.bam,19577422,2855366571,19524864,2849302184,4560137,669418530,139,0.8904069325
SLX-11034.A001.HiSeq2500.bam,9491100,1002950969,8026837,843865712,44249,4775389,3971,0.263708035
SLX-10572.D706-D506.HiSeq2500.bam,1003339,100345620,993156,99588997,1621,165045,39,0.0311215615625
SLX-12759.D702-D505.HiSeq4000.bam,18321475,2456355232,18170108,2447536877,3605405,494579156,17142,0.7648552740625
SLX-13621.D708-D502.HiSeq4000.bam,33396524,4723901701,33208147,4707759845,7003253,1005243377,3499,1.4711749515625001
SLX-10575.iPCRtagT040.HiSeq2500.bam,9551733,1093921191,9482415,1088233004,73231,8621738,3852,0.34007281375
SLX-11379.D704-D508.HiSeq4000.bam,20398335,2889035422,20265570,2876806613,1015160,146316869,448,0.8990020665625
SLX-13710.D702-D502.NextSeq.bam,12647800,935913843,12528606,928622112,232442,17228754,62,0.29019441
SLX-13223.D702-D503.HiSeq4000.bam,28581803,3606913738,28257060,3577554144,4231533,596113400,3120,1.11798567
